year,territory_raw,territory_level,measure,value
2010,Общо за страната,country,Общо,75513.0
2010,Общо за страната,country,Възраст на майката | под 20,8411.0
2010,Общо за страната,country,20 - 24,18249.0
2010,Общо за страната,country,25 - 29,22447.0
2010,Общо за страната,country,30 - 34,18141.0
2010,Общо за страната,country,35 - 39,7145.0
2010,Общо за страната,country,40 - 44,1054.0
2010,Общо за страната,country,45 +,60.0
2010,Общо за страната,country,непоказана,6.0
2010,Благоевград,oblast,Общо,3360.0
2010,Благоевград,oblast,Възраст на майката | под 20,321.0
2010,Благоевград,oblast,20 - 24,1021.0
2010,Благоевград,oblast,25 - 29,1046.0
2010,Благоевград,oblast,30 - 34,676.0
2010,Благоевград,oblast,35 - 39,260.0
2010,Благоевград,oblast,40 - 44,33.0
2010,Благоевград,oblast,45 +,1.0
2010,Благоевград,oblast,непоказана,2.0
2010,Бургас,oblast,Общо,4508.0
2010,Бургас,oblast,Възраст на майката | под 20,475.0
2010,Бургас,oblast,20 - 24,1159.0
2010,Бургас,oblast,25 - 29,1368.0
2010,Бургас,oblast,30 - 34,1052.0
2010,Бургас,oblast,35 - 39,404.0
2010,Бургас,oblast,40 - 44,48.0
2010,Бургас,oblast,45 +,2.0
2010,Варна,oblast,Общо,5350.0
2010,Варна,oblast,Възраст на майката | под 20,431.0
2010,Варна,oblast,20 - 24,1035.0
2010,Варна,oblast,25 - 29,1679.0
2010,Варна,oblast,30 - 34,1542.0
2010,Варна,oblast,35 - 39,594.0
2010,Варна,oblast,40 - 44,65.0
2010,Варна,oblast,45 +,4.0
2010,Велико Търново,oblast,Общо,2379.0
2010,Велико Търново,oblast,Възраст на майката | под 20,252.0
2010,Велико Търново,oblast,20 - 24,600.0
2010,Велико Търново,oblast,25 - 29,777.0
2010,Велико Търново,oblast,30 - 34,552.0
2010,Велико Търново,oblast,35 - 39,160.0
2010,Велико Търново,oblast,40 - 44,37.0
2010,Велико Търново,oblast,45 +,1.0
2010,Видин,oblast,Общо,829.0
2010,Видин,oblast,Възраст на майката | под 20,129.0
2010,Видин,oblast,20 - 24,241.0
2010,Видин,oblast,25 - 29,224.0
2010,Видин,oblast,30 - 34,154.0
2010,Видин,oblast,35 - 39,70.0
2010,Видин,oblast,40 - 44,11.0
2010,Враца,oblast,Общо,1622.0
2010,Враца,oblast,Възраст на майката | под 20,225.0
2010,Враца,oblast,20 - 24,517.0
2010,Враца,oblast,25 - 29,447.0
2010,Враца,oblast,30 - 34,291.0
2010,Враца,oblast,35 - 39,114.0
2010,Враца,oblast,40 - 44,23.0
2010,Враца,oblast,45 +,5.0
2010,Габрово,oblast,Общо,1030.0
2010,Габрово,oblast,Възраст на майката | под 20,89.0
2010,Габрово,oblast,20 - 24,240.0
2010,Габрово,oblast,25 - 29,318.0
2010,Габрово,oblast,30 - 34,246.0
2010,Габрово,oblast,35 - 39,115.0
2010,Габрово,oblast,40 - 44,22.0
2010,Добрич,oblast,Общо,1827.0
2010,Добрич,oblast,Възраст на майката | под 20,262.0
2010,Добрич,oblast,20 - 24,505.0
2010,Добрич,oblast,25 - 29,504.0
2010,Добрич,oblast,30 - 34,388.0
2010,Добрич,oblast,35 - 39,149.0
2010,Добрич,oblast,40 - 44,19.0
2010,Кърджали,oblast,Общо,1608.0
2010,Кърджали,oblast,Възраст на майката | под 20,142.0
2010,Кърджали,oblast,20 - 24,464.0
2010,Кърджали,oblast,25 - 29,575.0
2010,Кърджали,oblast,30 - 34,345.0
2010,Кърджали,oblast,35 - 39,76.0
2010,Кърджали,oblast,40 - 44,5.0
2010,Кърджали,oblast,45 +,1.0
