dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
births_by_sex,2010,Общо за страната,country,,,total,75513.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Общо за страната,country,,,male,38836.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Общо за страната,country,,,female,36677.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Общо за страната,country,,,total,70846.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Общо за страната,country,,,male,36533.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Общо за страната,country,,,female,34313.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Общо за страната,country,,,total,69121.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Общо за страната,country,,,male,35662.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Общо за страната,country,,,female,33459.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Общо за страната,country,,,total,66578.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Общо за страната,country,,,male,34044.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Общо за страната,country,,,female,32534.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Общо за страната,country,,,total,67585.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Общо за страната,country,,,male,34735.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Общо за страната,country,,,female,32850.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Общо за страната,country,,,total,65950.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Общо за страната,country,,,male,34069.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Общо за страната,country,,,female,31881.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Общо за страната,country,,,total,64984.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Общо за страната,country,,,male,33375.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Общо за страната,country,,,female,31609.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Общо за страната,country,,,total,63955.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Общо за страната,country,,,male,32787.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Общо за страната,country,,,female,31168.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Общо за страната,country,,,total,62197.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Общо за страната,country,,,male,32144.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Общо за страната,country,,,female,30053.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Общо за страната,country,,,total,61538.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Общо за страната,country,,,male,31515.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Общо за страната,country,,,female,30023.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Общо за страната,country,,,total,59086.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Общо за страната,country,,,male,30372.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Общо за страната,country,,,female,28714.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Общо за страната,country,,,total,58678.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Общо за страната,country,,,male,30073.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Общо за страната,country,,,female,28605.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Общо за страната,country,,,total,56596.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Общо за страната,country,,,male,28923.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Общо за страната,country,,,female,27673.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Общо за страната,country,,,total,57197.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Общо за страната,country,,,male,29318.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Общо за страната,country,,,female,27879.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Общо за страната,country,,,total,53428.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Общо за страната,country,,,male,27377.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Общо за страната,country,,,female,26051.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Общо за страната,country,,,total,50241.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Общо за страната,country,,,male,25763.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Общо за страната,country,,,female,24478.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Благоевград,oblast,Благоевград,,total,3360.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Благоевград,oblast,Благоевград,,male,1724.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Благоевград,oblast,Благоевград,,female,1636.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Благоевград,oblast,Благоевград,,total,3169.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Благоевград,oblast,Благоевград,,male,1594.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Благоевград,oblast,Благоевград,,female,1575.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,total,3044.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,male,1576.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,female,1468.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,total,2883.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,male,1507.0,Pop_1.2.1._birth_DR.xlsx
