group_name,age_group,year,metric,value
Общо за страната,Под 20,2010,male,1.0
Общо за страната,Под 20,2010,female,19.0
Общо за страната,Под 20,2011,male,3.0
Общо за страната,Под 20,2011,female,11.0
Общо за страната,Под 20,2012,male,9.0
Общо за страната,Под 20,2012,female,49.0
Общо за страната,Под 20,2013,male,4.0
Общо за страната,Под 20,2013,female,23.0
Общо за страната,Под 20,2014,male,3.0
Общо за страната,Под 20,2014,female,28.0
Общо за страната,Под 20,2015,male,2.0
Общо за страната,Под 20,2015,female,22.0
Общо за страната,Под 20,2016,male,2.0
Общо за страната,Под 20,2016,female,28.0
Общо за страната,Под 20,2017,male,
Общо за страната,Под 20,2017,female,30.0
Общо за страната,Под 20,2018,male,2.0
Общо за страната,Под 20,2018,female,42.0
Общо за страната,Под 20,2019,male,4.0
Общо за страната,Под 20,2019,female,61.0
Общо за страната,Под 20,2020,male,4.0
Общо за страната,Под 20,2020,female,42.0
Общо за страната,Под 20,2021,male,9.0
Общо за страната,Под 20,2021,female,46.0
Общо за страната,Под 20,2022,male,6.0
Общо за страната,Под 20,2022,female,40.0
Общо за страната,Под 20,2023,male,6.0
Общо за страната,Под 20,2023,female,36.0
Общо за страната,Под 20,2024,male,7.0
Общо за страната,Под 20,2024,female,39.0
Общо за страната,Под 20,2025,male,4.0
Общо за страната,Под 20,2025,female,34.0
Общо за страната,20 - 24,2010,male,132.0
Общо за страната,20 - 24,2010,female,553.0
Общо за страната,20 - 24,2011,male,103.0
Общо за страната,20 - 24,2011,female,475.0
Общо за страната,20 - 24,2012,male,228.0
Общо за страната,20 - 24,2012,female,850.0
Общо за страната,20 - 24,2013,male,117.0
Общо за страната,20 - 24,2013,female,416.0
Общо за страната,20 - 24,2014,male,101.0
Общо за страната,20 - 24,2014,female,349.0
Общо за страната,20 - 24,2015,male,106.0
Общо за страната,20 - 24,2015,female,353.0
Общо за страната,20 - 24,2016,male,96.0
Общо за страната,20 - 24,2016,female,359.0
Общо за страната,20 - 24,2017,male,125.0
Общо за страната,20 - 24,2017,female,335.0
Общо за страната,20 - 24,2018,male,130.0
Общо за страната,20 - 24,2018,female,351.0
Общо за страната,20 - 24,2019,male,137.0
Общо за страната,20 - 24,2019,female,356.0
Общо за страната,20 - 24,2020,male,120.0
Общо за страната,20 - 24,2020,female,347.0
Общо за страната,20 - 24,2021,male,165.0
Общо за страната,20 - 24,2021,female,364.0
Общо за страната,20 - 24,2022,male,134.0
Общо за страната,20 - 24,2022,female,360.0
Общо за страната,20 - 24,2023,male,122.0
Общо за страната,20 - 24,2023,female,336.0
Общо за страната,20 - 24,2024,male,141.0
Общо за страната,20 - 24,2024,female,332.0
Общо за страната,20 - 24,2025,male,146.0
Общо за страната,20 - 24,2025,female,318.0
Общо за страната,25 - 29,2010,male,876.0
Общо за страната,25 - 29,2010,female,1683.0
Общо за страната,25 - 29,2011,male,732.0
Общо за страната,25 - 29,2011,female,1511.0
Общо за страната,25 - 29,2012,male,1189.0
Общо за страната,25 - 29,2012,female,2025.0
Общо за страната,25 - 29,2013,male,717.0
Общо за страната,25 - 29,2013,female,1486.0
Общо за страната,25 - 29,2014,male,587.0
Общо за страната,25 - 29,2014,female,1318.0
Общо за страната,25 - 29,2015,male,606.0
Общо за страната,25 - 29,2015,female,1269.0
Общо за страната,25 - 29,2016,male,614.0
Общо за страната,25 - 29,2016,female,1139.0
Общо за страната,25 - 29,2017,male,522.0
Общо за страната,25 - 29,2017,female,1075.0
Общо за страната,25 - 29,2018,male,556.0
Общо за страната,25 - 29,2018,female,1009.0
Общо за страната,25 - 29,2019,male,528.0
Общо за страната,25 - 29,2019,female,978.0
Общо за страната,25 - 29,2020,male,513.0
Общо за страната,25 - 29,2020,female,839.0
Общо за страната,25 - 29,2021,male,549.0
Общо за страната,25 - 29,2021,female,910.0
Общо за страната,25 - 29,2022,male,535.0
Общо за страната,25 - 29,2022,female,842.0
Общо за страната,25 - 29,2023,male,423.0
Общо за страната,25 - 29,2023,female,742.0
Общо за страната,25 - 29,2024,male,450.0
Общо за страната,25 - 29,2024,female,721.0
Общо за страната,25 - 29,2025,male,449.0
Общо за страната,25 - 29,2025,female,728.0
Общо за страната,30 - 34,2010,male,1926.0
Общо за страната,30 - 34,2010,female,2339.0
Общо за страната,30 - 34,2011,male,1767.0
Общо за страната,30 - 34,2011,female,2174.0
Общо за страната,30 - 34,2012,male,2153.0
Общо за страната,30 - 34,2012,female,2513.0
Общо за страната,30 - 34,2013,male,1589.0
Общо за страната,30 - 34,2013,female,2100.0
Общо за страната,30 - 34,2014,male,1403.0
Общо за страната,30 - 34,2014,female,1849.0
Общо за страната,30 - 34,2015,male,1387.0
Общо за страната,30 - 34,2015,female,1766.0
Общо за страната,30 - 34,2016,male,1290.0
Общо за страната,30 - 34,2016,female,1764.0
Общо за страната,30 - 34,2017,male,1244.0
Общо за страната,30 - 34,2017,female,1734.0
Общо за страната,30 - 34,2018,male,1165.0
Общо за страната,30 - 34,2018,female,1654.0
Общо за страната,30 - 34,2019,male,1197.0
Общо за страната,30 - 34,2019,female,1693.0
Общо за страната,30 - 34,2020,male,995.0
Общо за страната,30 - 34,2020,female,1378.0
Общо за страната,30 - 34,2021,male,1111.0
Общо за страната,30 - 34,2021,female,1508.0
Общо за страната,30 - 34,2022,male,1053.0
Общо за страната,30 - 34,2022,female,1378.0
