dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
divorces_by_residence,2010,Благоевград,oblast,Благоевград,,total,340.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Благоевград,oblast,Благоевград,,urban,258.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Благоевград,oblast,Благоевград,,rural,82.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Благоевград,oblast,Благоевград,,total,328.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Благоевград,oblast,Благоевград,,urban,259.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Благоевград,oblast,Благоевград,,rural,69.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Благоевград,oblast,Благоевград,,total,418.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Благоевград,oblast,Благоевград,,urban,281.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Благоевград,oblast,Благоевград,,rural,137.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Благоевград,oblast,Благоевград,,total,383.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Благоевград,oblast,Благоевград,,urban,282.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Благоевград,oblast,Благоевград,,rural,101.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Благоевград,oblast,Благоевград,,total,375.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Благоевград,oblast,Благоевград,,urban,263.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Благоевград,oblast,Благоевград,,rural,112.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Благоевград,oblast,Благоевград,,total,373.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Благоевград,oblast,Благоевград,,urban,280.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Благоевград,oblast,Благоевград,,rural,93.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Благоевград,oblast,Благоевград,,total,395.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Благоевград,oblast,Благоевград,,urban,281.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Благоевград,oblast,Благоевград,,rural,114.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Благоевград,oblast,Благоевград,,total,476.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Благоевград,oblast,Благоевград,,urban,347.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Благоевград,oblast,Благоевград,,rural,129.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Благоевград,oblast,Благоевград,,total,374.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Благоевград,oblast,Благоевград,,urban,253.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Благоевград,oblast,Благоевград,,rural,121.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Благоевград,oblast,Благоевград,,total,395.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Благоевград,oblast,Благоевград,,urban,271.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Благоевград,oblast,Благоевград,,rural,124.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Благоевград,oblast,Благоевград,,total,340.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Благоевград,oblast,Благоевград,,urban,233.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Благоевград,oblast,Благоевград,,rural,107.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Благоевград,oblast,Благоевград,,total,393.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Благоевград,oblast,Благоевград,,urban,258.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Благоевград,oblast,Благоевград,,rural,135.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Благоевград,oblast,Благоевград,,total,353.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Благоевград,oblast,Благоевград,,urban,222.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Благоевград,oblast,Благоевград,,rural,131.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Благоевград,oblast,Благоевград,,total,381.0,Pop_4.2.1._Divorces_DR.xlsx
