dataset,year,residence_group,female_age_group,male_age_group,value,source_file,sheet_name
marriages_age_matrix,2010,Общо за страната,Под 18,total,135.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,Под 18,под 18,4.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,Под 18,18 - 19,22.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,Под 18,20 - 24,83.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,Под 18,25 - 29,23.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,Под 18,30 - 34,3.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,total,1158.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,под 18,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,18 - 19,67.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,20 - 24,612.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,25 - 29,358.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,30 - 34,91.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,35 - 39,21.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,40 - 49,6.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,18 - 19,50 - 59,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,20 - 24,total,7298.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,20 - 24,под 18,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
