group_name,age_group,year,metric,value
Общо за страната,Под 18,2010,male,7.0
Общо за страната,Под 18,2010,female,135.0
Общо за страната,Под 18,2011,male,11.0
Общо за страната,Под 18,2011,female,304.0
Общо за страната,Под 18,2012,male,12.0
Общо за страната,Под 18,2012,female,376.0
Общо за страната,Под 18,2013,male,25.0
Общо за страната,Под 18,2013,female,385.0
Общо за страната,Под 18,2014,male,20.0
Общо за страната,Под 18,2014,female,393.0
Общо за страната,Под 18,2015,male,16.0
Общо за страната,Под 18,2015,female,481.0
Общо за страната,Под 18,2016,male,23.0
Общо за страната,Под 18,2016,female,621.0
Общо за страната,Под 18,2017,male,31.0
Общо за страната,Под 18,2017,female,618.0
Общо за страната,Под 18,2018,male,32.0
Общо за страната,Под 18,2018,female,619.0
Общо за страната,Под 18,2019,male,19.0
Общо за страната,Под 18,2019,female,572.0
Общо за страната,Под 18,2020,male,28.0
Общо за страната,Под 18,2020,female,379.0
Общо за страната,Под 18,2021,male,22.0
Общо за страната,Под 18,2021,female,423.0
Общо за страната,Под 18,2022,male,20.0
Общо за страната,Под 18,2022,female,374.0
Общо за страната,Под 18,2023,male,19.0
Общо за страната,Под 18,2023,female,323.0
Общо за страната,Под 18,2024,male,
Общо за страната,Под 18,2024,female,10.0
Общо за страната,Под 18,2025,male,1.0
Общо за страната,Под 18,2025,female,2.0
Общо за страната,18 - 19,2010,male,159.0
Общо за страната,18 - 19,2010,female,1158.0
Общо за страната,18 - 19,2011,male,170.0
Общо за страната,18 - 19,2011,female,986.0
Общо за страната,18 - 19,2012,male,190.0
Общо за страната,18 - 19,2012,female,981.0
Общо за страната,18 - 19,2013,male,212.0
Общо за страната,18 - 19,2013,female,984.0
Общо за страната,18 - 19,2014,male,220.0
Общо за страната,18 - 19,2014,female,1085.0
Общо за страната,18 - 19,2015,male,275.0
Общо за страната,18 - 19,2015,female,1229.0
Общо за страната,18 - 19,2016,male,279.0
Общо за страната,18 - 19,2016,female,1111.0
Общо за страната,18 - 19,2017,male,336.0
Общо за страната,18 - 19,2017,female,1236.0
Общо за страната,18 - 19,2018,male,418.0
Общо за страната,18 - 19,2018,female,1503.0
Общо за страната,18 - 19,2019,male,477.0
Общо за страната,18 - 19,2019,female,1495.0
Общо за страната,18 - 19,2020,male,338.0
Общо за страната,18 - 19,2020,female,1170.0
Общо за страната,18 - 19,2021,male,427.0
Общо за страната,18 - 19,2021,female,1506.0
Общо за страната,18 - 19,2022,male,418.0
Общо за страната,18 - 19,2022,female,1331.0
Общо за страната,18 - 19,2023,male,368.0
Общо за страната,18 - 19,2023,female,1062.0
Общо за страната,18 - 19,2024,male,258.0
Общо за страната,18 - 19,2024,female,994.0
Общо за страната,18 - 19,2025,male,236.0
Общо за страната,18 - 19,2025,female,999.0
Общо за страната,20 - 24,2010,male,3376.0
Общо за страната,20 - 24,2010,female,7298.0
Общо за страната,20 - 24,2011,male,2992.0
Общо за страната,20 - 24,2011,female,6252.0
Общо за страната,20 - 24,2012,male,2957.0
Общо за страната,20 - 24,2012,female,6045.0
Общо за страната,20 - 24,2013,male,2950.0
Общо за страната,20 - 24,2013,female,5846.0
Общо за страната,20 - 24,2014,male,3184.0
Общо за страната,20 - 24,2014,female,6316.0
Общо за страната,20 - 24,2015,male,3556.0
Общо за страната,20 - 24,2015,female,6648.0
Общо за страната,20 - 24,2016,male,3352.0
Общо за страната,20 - 24,2016,female,6160.0
Общо за страната,20 - 24,2017,male,3289.0
Общо за страната,20 - 24,2017,female,6046.0
Общо за страната,20 - 24,2018,male,3358.0
Общо за страната,20 - 24,2018,female,5647.0
Общо за страната,20 - 24,2019,male,3234.0
Общо за страната,20 - 24,2019,female,5432.0
Общо за страната,20 - 24,2020,male,2512.0
Общо за страната,20 - 24,2020,female,4115.0
Общо за страната,20 - 24,2021,male,3033.0
Общо за страната,20 - 24,2021,female,4806.0
Общо за страната,20 - 24,2022,male,2970.0
Общо за страната,20 - 24,2022,female,4767.0
Общо за страната,20 - 24,2023,male,2352.0
Общо за страната,20 - 24,2023,female,3947.0
Общо за страната,20 - 24,2024,male,2245.0
Общо за страната,20 - 24,2024,female,3850.0
Общо за страната,20 - 24,2025,male,2246.0
Общо за страната,20 - 24,2025,female,3702.0
Общо за страната,25 - 29,2010,male,8499.0
Общо за страната,25 - 29,2010,female,8279.0
Общо за страната,25 - 29,2011,male,7607.0
Общо за страната,25 - 29,2011,female,7351.0
Общо за страната,25 - 29,2012,male,7343.0
Общо за страната,25 - 29,2012,female,7196.0
