dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
marriages_by_residence,2010,Благоевград,oblast,Благоевград,,total,1229.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Благоевград,oblast,Благоевград,,urban,755.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Благоевград,oblast,Благоевград,,rural,474.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Благоевград,oblast,Благоевград,,total,1166.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Благоевград,oblast,Благоевград,,urban,704.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Благоевград,oblast,Благоевград,,rural,462.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Благоевград,oblast,Благоевград,,total,1023.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Благоевград,oblast,Благоевград,,urban,637.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Благоевград,oblast,Благоевград,,rural,386.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Благоевград,oblast,Благоевград,,total,1082.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Благоевград,oblast,Благоевград,,urban,703.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Благоевград,oblast,Благоевград,,rural,379.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Благоевград,oblast,Благоевград,,total,1091.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Благоевград,oblast,Благоевград,,urban,686.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Благоевград,oblast,Благоевград,,rural,405.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Благоевград,oblast,Благоевград,,total,1232.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Благоевград,oblast,Благоевград,,urban,773.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Благоевград,oblast,Благоевград,,rural,459.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Благоевград,oblast,Благоевград,,total,1123.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Благоевград,oblast,Благоевград,,urban,677.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Благоевград,oblast,Благоевград,,rural,446.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Благоевград,oblast,Благоевград,,total,1131.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Благоевград,oblast,Благоевград,,urban,676.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Благоевград,oblast,Благоевград,,rural,455.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Благоевград,oblast,Благоевград,,total,1195.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Благоевград,oblast,Благоевград,,urban,741.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Благоевград,oblast,Благоевград,,rural,454.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2019,Благоевград,oblast,Благоевград,,total,1174.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2019,Благоевград,oblast,Благоевград,,urban,712.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2019,Благоевград,oblast,Благоевград,,rural,462.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2020,Благоевград,oblast,Благоевград,,total,876.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2020,Благоевград,oblast,Благоевград,,urban,499.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2020,Благоевград,oblast,Благоевград,,rural,377.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2021,Благоевград,oblast,Благоевград,,total,1040.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2021,Благоевград,oblast,Благоевград,,urban,644.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2021,Благоевград,oblast,Благоевград,,rural,396.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Благоевград,oblast,Благоевград,,total,985.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Благоевград,oblast,Благоевград,,urban,592.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Благоевград,oblast,Благоевград,,rural,393.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Благоевград,oblast,Благоевград,,total,892.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Благоевград,oblast,Благоевград,,urban,536.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Благоевград,oblast,Благоевград,,rural,356.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Благоевград,oblast,Благоевград,,total,806.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Благоевград,oblast,Благоевград,,urban,481.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Благоевград,oblast,Благоевград,,rural,325.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Благоевград,oblast,Благоевград,,total,779.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Благоевград,oblast,Благоевград,,urban,459.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Благоевград,oblast,Благоевград,,rural,320.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Бургас,oblast,Бургас,,total,1485.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Бургас,oblast,Бургас,,urban,1133.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Бургас,oblast,Бургас,,rural,352.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Бургас,oblast,Бургас,,total,1411.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Бургас,oblast,Бургас,,urban,1016.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Бургас,oblast,Бургас,,rural,395.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Бургас,oblast,Бургас,,total,1357.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Бургас,oblast,Бургас,,urban,995.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Бургас,oblast,Бургас,,rural,362.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Бургас,oblast,Бургас,,total,1410.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Бургас,oblast,Бургас,,urban,1003.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Бургас,oblast,Бургас,,rural,407.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Бургас,oblast,Бургас,,total,1567.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Бургас,oblast,Бургас,,urban,1104.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Бургас,oblast,Бургас,,rural,463.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Бургас,oblast,Бургас,,total,1897.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Бургас,oblast,Бургас,,urban,1394.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Бургас,oblast,Бургас,,rural,503.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Бургас,oblast,Бургас,,total,1797.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Бургас,oblast,Бургас,,urban,1318.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Бургас,oblast,Бургас,,rural,479.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Бургас,oblast,Бургас,,total,1955.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Бургас,oblast,Бургас,,urban,1473.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Бургас,oblast,Бургас,,rural,482.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Бургас,oblast,Бургас,,total,1967.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Бургас,oblast,Бургас,,urban,1443.0,Pop_4.1.1._Marriages_DR.xlsx
