year,territory_raw,territory_level,metric,value
2010,България,country,total,75513.0
2010,България,country,urban,57077.0
2010,България,country,rural,18436.0
2010,Благоевград,district,total,3360.0
2010,Благоевград,district,urban,2073.0
2010,Благоевград,district,rural,1287.0
2010,Бургас,district,total,4508.0
2010,Бургас,district,urban,3374.0
2010,Бургас,district,rural,1134.0
2010,Варна,district,total,5350.0
2010,Варна,district,urban,4544.0
2010,Варна,district,rural,806.0
2010,Велико Търново,district,total,2379.0
2010,Велико Търново,district,urban,1738.0
2010,Велико Търново,district,rural,641.0
2010,Видин,district,total,829.0
2010,Видин,district,urban,584.0
2010,Видин,district,rural,245.0
2010,Враца,district,total,1622.0
2010,Враца,district,urban,932.0
2010,Враца,district,rural,690.0
2010,Габрово,district,total,1030.0
2010,Габрово,district,urban,861.0
2010,Габрово,district,rural,169.0
2010,Добрич,district,total,1827.0
2010,Добрич,district,urban,1215.0
2010,Добрич,district,rural,612.0
2010,Кърджали,district,total,1608.0
2010,Кърджали,district,urban,684.0
2010,Кърджали,district,rural,924.0
2010,Кюстендил,district,total,1097.0
2010,Кюстендил,district,urban,889.0
2010,Кюстендил,district,rural,208.0
2010,Ловеч,district,total,1273.0
2010,Ловеч,district,urban,807.0
2010,Ловеч,district,rural,466.0
2010,Монтана,district,total,1278.0
2010,Монтана,district,urban,901.0
2010,Монтана,district,rural,377.0
2010,Пазарджик,district,total,2913.0
2010,Пазарджик,district,urban,1896.0
2010,Пазарджик,district,rural,1017.0
2010,Перник,district,total,1097.0
2010,Перник,district,urban,984.0
2010,Перник,district,rural,113.0
2010,Плевен,district,total,2548.0
2010,Плевен,district,urban,1722.0
2010,Плевен,district,rural,826.0
2010,Пловдив,district,total,7197.0
2010,Пловдив,district,urban,5647.0
2010,Пловдив,district,rural,1550.0
2010,Разград,district,total,1135.0
2010,Разград,district,urban,537.0
2010,Разград,district,rural,598.0
2010,Русе,district,total,2178.0
2010,Русе,district,urban,1762.0
2010,Русе,district,rural,416.0
2010,Силистра,district,total,1127.0
2010,Силистра,district,urban,462.0
2010,Силистра,district,rural,665.0
2010,Сливен,district,total,2532.0
2010,Сливен,district,urban,1582.0
2010,Сливен,district,rural,950.0
2010,Смолян,district,total,1026.0
2010,Смолян,district,urban,660.0
2010,Смолян,district,rural,366.0
2010,София (столица),district,total,14886.0
2010,София (столица),district,urban,14404.0
2010,София (столица),district,rural,482.0
2010,София,district,total,2151.0
2010,София,district,urban,1509.0
2010,София,district,rural,642.0
2010,Стара Загора,district,total,3562.0
2010,Стара Загора,district,urban,2582.0
2010,Стара Загора,district,rural,980.0
2010,Търговище,district,total,1356.0
2010,Търговище,district,urban,669.0
2010,Търговище,district,rural,687.0
2010,Хасково,district,total,2387.0
2010,Хасково,district,urban,1835.0
2010,Хасково,district,rural,552.0
2010,Шумен,district,total,1916.0
2010,Шумен,district,urban,1208.0
2010,Шумен,district,rural,708.0
2010,Ямбол,district,total,1341.0
2010,Ямбол,district,urban,1016.0
2010,Ямбол,district,rural,325.0
2011,България,country,total,70846.0
2011,България,country,urban,53396.0
2011,България,country,rural,17450.0
2011,Благоевград,district,total,3169.0
2011,Благоевград,district,urban,1999.0
2011,Благоевград,district,rural,1170.0
2011,Бургас,district,total,4281.0
2011,Бургас,district,urban,3153.0
2011,Бургас,district,rural,1128.0
2011,Варна,district,total,4948.0
2011,Варна,district,urban,4255.0
2011,Варна,district,rural,693.0
2011,Велико Търново,district,total,2280.0
2011,Велико Търново,district,urban,1707.0
2011,Велико Търново,district,rural,573.0
2011,Видин,district,total,752.0
2011,Видин,district,urban,542.0
2011,Видин,district,rural,210.0
2011,Враца,district,total,1594.0
2011,Враца,district,urban,948.0
2011,Враца,district,rural,646.0
2011,Габрово,district,total,993.0
2011,Габрово,district,urban,817.0
2011,Габрово,district,rural,176.0
2011,Добрич,district,total,1843.0
2011,Добрич,district,urban,1223.0
2011,Добрич,district,rural,620.0
2011,Кърджали,district,total,1446.0
2011,Кърджали,district,urban,667.0
2011,Кърджали,district,rural,779.0
2011,Кюстендил,district,total,1085.0
2011,Кюстендил,district,urban,896.0
2011,Кюстендил,district,rural,189.0
2011,Ловеч,district,total,1220.0
2011,Ловеч,district,urban,787.0
2011,Ловеч,district,rural,433.0
2011,Монтана,district,total,1264.0
2011,Монтана,district,urban,878.0
2011,Монтана,district,rural,386.0
2011,Пазарджик,district,total,2749.0
2011,Пазарджик,district,urban,1808.0
2011,Пазарджик,district,rural,941.0
2011,Перник,district,total,1005.0
2011,Перник,district,urban,869.0
2011,Перник,district,rural,136.0
2011,Плевен,district,total,2394.0
2011,Плевен,district,urban,1613.0
2011,Плевен,district,rural,781.0
2011,Пловдив,district,total,6827.0
2011,Пловдив,district,urban,5357.0
2011,Пловдив,district,rural,1470.0
2011,Разград,district,total,1055.0
2011,Разград,district,urban,438.0
2011,Разград,district,rural,617.0
2011,Русе,district,total,1855.0
2011,Русе,district,urban,1474.0
2011,Русе,district,rural,381.0
2011,Силистра,district,total,1043.0
2011,Силистра,district,urban,427.0
2011,Силистра,district,rural,616.0
2011,Сливен,district,total,2471.0
2011,Сливен,district,urban,1522.0
2011,Сливен,district,rural,949.0
2011,Смолян,district,total,788.0
2011,Смолян,district,urban,469.0
2011,Смолян,district,rural,319.0
2011,София (столица),district,total,13742.0
2011,София (столица),district,urban,13306.0
2011,София (столица),district,rural,436.0
2011,София,district,total,2119.0
2011,София,district,urban,1464.0
2011,София,district,rural,655.0
2011,Стара Загора,district,total,3308.0
2011,Стара Загора,district,urban,2358.0
2011,Стара Загора,district,rural,950.0
2011,Търговище,district,total,1248.0
2011,Търговище,district,urban,611.0
2011,Търговище,district,rural,637.0
2011,Хасково,district,total,2232.0
2011,Хасково,district,urban,1697.0
2011,Хасково,district,rural,535.0
2011,Шумен,district,total,1832.0
2011,Шумен,district,urban,1145.0
2011,Шумен,district,rural,687.0
2011,Ямбол,district,total,1303.0
2011,Ямбол,district,urban,966.0
2011,Ямбол,district,rural,337.0
2012,България,country,total,69121.0
2012,България,country,urban,51658.0
2012,България,country,rural,17463.0
2012,Благоевград,district,total,3044.0
2012,Благоевград,district,urban,1896.0
