year,territory_raw,territory_level,metric,value
2010,България,country,total,34663.0
2010,България,country,urban,28194.0
2010,България,country,rural,6469.0
2010,Благоевград,district,total,2086.0
2010,Благоевград,district,urban,1288.0
2010,Благоевград,district,rural,798.0
2010,Бургас,district,total,2391.0
2010,Бургас,district,urban,1851.0
2010,Бургас,district,rural,540.0
2010,Варна,district,total,2624.0
2010,Варна,district,urban,2439.0
2010,Варна,district,rural,185.0
2010,Велико Търново,district,total,906.0
2010,Велико Търново,district,urban,792.0
2010,Велико Търново,district,rural,114.0
2010,Видин,district,total,273.0
2010,Видин,district,urban,216.0
2010,Видин,district,rural,57.0
2010,Враца,district,total,547.0
2010,Враца,district,urban,385.0
2010,Враца,district,rural,162.0
2010,Габрово,district,total,395.0
2010,Габрово,district,urban,346.0
2010,Габрово,district,rural,49.0
2010,Добрич,district,total,692.0
2010,Добрич,district,urban,555.0
2010,Добрич,district,rural,137.0
2010,Кърджали,district,total,967.0
2010,Кърджали,district,urban,380.0
2010,Кърджали,district,rural,587.0
2010,Кюстендил,district,total,545.0
2010,Кюстендил,district,urban,434.0
2010,Кюстендил,district,rural,111.0
2010,Ловеч,district,total,401.0
2010,Ловеч,district,urban,277.0
2010,Ловеч,district,rural,124.0
2010,Монтана,district,total,408.0
2010,Монтана,district,urban,336.0
2010,Монтана,district,rural,72.0
2010,Пазарджик,district,total,1039.0
2010,Пазарджик,district,urban,705.0
2010,Пазарджик,district,rural,334.0
2010,Перник,district,total,556.0
2010,Перник,district,urban,497.0
2010,Перник,district,rural,59.0
2010,Плевен,district,total,1005.0
2010,Плевен,district,urban,842.0
2010,Плевен,district,rural,163.0
2010,Пловдив,district,total,3577.0
2010,Пловдив,district,urban,3008.0
2010,Пловдив,district,rural,569.0
2010,Разград,district,total,545.0
2010,Разград,district,urban,260.0
2010,Разград,district,rural,285.0
2010,Русе,district,total,1038.0
2010,Русе,district,urban,889.0
2010,Русе,district,rural,149.0
2010,Силистра,district,total,472.0
2010,Силистра,district,urban,208.0
2010,Силистра,district,rural,264.0
2010,Сливен,district,total,783.0
2010,Сливен,district,urban,619.0
2010,Сливен,district,rural,164.0
2010,Смолян,district,total,427.0
2010,Смолян,district,urban,281.0
2010,Смолян,district,rural,146.0
2010,София (столица),district,total,8018.0
2010,София (столица),district,urban,7756.0
2010,София (столица),district,rural,262.0
2010,София,district,total,791.0
2010,София,district,urban,599.0
2010,София,district,rural,192.0
2010,Стара Загора,district,total,1439.0
2010,Стара Загора,district,urban,1226.0
2010,Стара Загора,district,rural,213.0
2010,Търговище,district,total,509.0
2010,Търговище,district,urban,307.0
2010,Търговище,district,rural,202.0
2010,Хасково,district,total,974.0
2010,Хасково,district,urban,774.0
2010,Хасково,district,rural,200.0
2010,Шумен,district,total,787.0
2010,Шумен,district,urban,521.0
2010,Шумен,district,rural,266.0
2010,Ямбол,district,total,468.0
2010,Ямбол,district,urban,403.0
2010,Ямбол,district,rural,65.0
2011,България,country,total,31124.0
2011,България,country,urban,25322.0
2011,България,country,rural,5802.0
2011,Благоевград,district,total,1912.0
