year,territory_raw,territory_level,metric,value
2010,България,country,total,40850.0
2010,България,country,urban,28883.0
2010,България,country,rural,11967.0
2010,Благоевград,district,total,1274.0
2010,Благоевград,district,urban,785.0
2010,Благоевград,district,rural,489.0
2010,Бургас,district,total,2117.0
2010,Бургас,district,urban,1523.0
2010,Бургас,district,rural,594.0
2010,Варна,district,total,2726.0
2010,Варна,district,urban,2105.0
2010,Варна,district,rural,621.0
2010,Велико Търново,district,total,1473.0
2010,Велико Търново,district,urban,946.0
2010,Велико Търново,district,rural,527.0
2010,Видин,district,total,556.0
2010,Видин,district,urban,368.0
2010,Видин,district,rural,188.0
2010,Враца,district,total,1075.0
2010,Враца,district,urban,547.0
2010,Враца,district,rural,528.0
2010,Габрово,district,total,635.0
2010,Габрово,district,urban,515.0
2010,Габрово,district,rural,120.0
2010,Добрич,district,total,1135.0
2010,Добрич,district,urban,660.0
2010,Добрич,district,rural,475.0
2010,Кърджали,district,total,641.0
2010,Кърджали,district,urban,304.0
2010,Кърджали,district,rural,337.0
2010,Кюстендил,district,total,552.0
2010,Кюстендил,district,urban,455.0
2010,Кюстендил,district,rural,97.0
2010,Ловеч,district,total,872.0
2010,Ловеч,district,urban,530.0
2010,Ловеч,district,rural,342.0
2010,Монтана,district,total,870.0
2010,Монтана,district,urban,565.0
2010,Монтана,district,rural,305.0
2010,Пазарджик,district,total,1874.0
2010,Пазарджик,district,urban,1191.0
2010,Пазарджик,district,rural,683.0
2010,Перник,district,total,541.0
2010,Перник,district,urban,487.0
2010,Перник,district,rural,54.0
2010,Плевен,district,total,1543.0
2010,Плевен,district,urban,880.0
2010,Плевен,district,rural,663.0
2010,Пловдив,district,total,3620.0
2010,Пловдив,district,urban,2639.0
2010,Пловдив,district,rural,981.0
2010,Разград,district,total,590.0
2010,Разград,district,urban,277.0
2010,Разград,district,rural,313.0
2010,Русе,district,total,1140.0
2010,Русе,district,urban,873.0
2010,Русе,district,rural,267.0
2010,Силистра,district,total,655.0
2010,Силистра,district,urban,254.0
2010,Силистра,district,rural,401.0
2010,Сливен,district,total,1749.0
2010,Сливен,district,urban,963.0
2010,Сливен,district,rural,786.0
2010,Смолян,district,total,599.0
2010,Смолян,district,urban,379.0
2010,Смолян,district,rural,220.0
2010,София (столица),district,total,6868.0
2010,София (столица),district,urban,6648.0
2010,София (столица),district,rural,220.0
2010,София,district,total,1360.0
2010,София,district,urban,910.0
2010,София,district,rural,450.0
2010,Стара Загора,district,total,2123.0
2010,Стара Загора,district,urban,1356.0
2010,Стара Загора,district,rural,767.0
2010,Търговище,district,total,847.0
2010,Търговище,district,urban,362.0
2010,Търговище,district,rural,485.0
2010,Хасково,district,total,1413.0
2010,Хасково,district,urban,1061.0
2010,Хасково,district,rural,352.0
2010,Шумен,district,total,1129.0
2010,Шумен,district,urban,687.0
2010,Шумен,district,rural,442.0
2010,Ямбол,district,total,873.0
2010,Ямбол,district,urban,613.0
2010,Ямбол,district,rural,260.0
2011,България,country,total,39722.0
2011,България,country,urban,28074.0
2011,България,country,rural,11648.0
2011,Благоевград,district,total,1257.0
2011,Благоевград,district,urban,799.0
2011,Благоевград,district,rural,458.0
2011,Бургас,district,total,2240.0
2011,Бургас,district,urban,1612.0
2011,Бургас,district,rural,628.0
2011,Варна,district,total,2664.0
2011,Варна,district,urban,2110.0
2011,Варна,district,rural,554.0
2011,Велико Търново,district,total,1426.0
2011,Велико Търново,district,urban,955.0
2011,Велико Търново,district,rural,471.0
2011,Видин,district,total,534.0
2011,Видин,district,urban,356.0
2011,Видин,district,rural,178.0
2011,Враца,district,total,1102.0
2011,Враца,district,urban,577.0
2011,Враца,district,rural,525.0
2011,Габрово,district,total,629.0
2011,Габрово,district,urban,492.0
2011,Габрово,district,rural,137.0
2011,Добрич,district,total,1191.0
2011,Добрич,district,urban,706.0
2011,Добрич,district,rural,485.0
2011,Кърджали,district,total,597.0
2011,Кърджали,district,urban,308.0
2011,Кърджали,district,rural,289.0
2011,Кюстендил,district,total,586.0
2011,Кюстендил,district,urban,488.0
2011,Кюстендил,district,rural,98.0
2011,Ловеч,district,total,878.0
2011,Ловеч,district,urban,550.0
2011,Ловеч,district,rural,328.0
2011,Монтана,district,total,906.0
2011,Монтана,district,urban,585.0
2011,Монтана,district,rural,321.0
2011,Пазарджик,district,total,1809.0
2011,Пазарджик,district,urban,1141.0
2011,Пазарджик,district,rural,668.0
2011,Перник,district,total,489.0
2011,Перник,district,urban,422.0
2011,Перник,district,rural,67.0
2011,Плевен,district,total,1492.0
2011,Плевен,district,urban,858.0
2011,Плевен,district,rural,634.0
2011,Пловдив,district,total,3568.0
2011,Пловдив,district,urban,2627.0
2011,Пловдив,district,rural,941.0
2011,Разград,district,total,542.0
2011,Разград,district,urban,215.0
2011,Разград,district,rural,327.0
2011,Русе,district,total,992.0
2011,Русе,district,urban,748.0
2011,Русе,district,rural,244.0
2011,Силистра,district,total,646.0
2011,Силистра,district,urban,249.0
2011,Силистра,district,rural,397.0
2011,Сливен,district,total,1779.0
2011,Сливен,district,urban,996.0
2011,Сливен,district,rural,783.0
2011,Смолян,district,total,491.0
2011,Смолян,district,urban,303.0
2011,Смолян,district,rural,188.0
2011,София (столица),district,total,6440.0
2011,София (столица),district,urban,6214.0
2011,София (столица),district,rural,226.0
2011,София,district,total,1358.0
2011,София,district,urban,909.0
2011,София,district,rural,449.0
2011,Стара Загора,district,total,2066.0
2011,Стара Загора,district,urban,1298.0
2011,Стара Загора,district,rural,768.0
2011,Търговище,district,total,746.0
2011,Търговище,district,urban,340.0
2011,Търговище,district,rural,406.0
2011,Хасково,district,total,1335.0
2011,Хасково,district,urban,982.0
2011,Хасково,district,rural,353.0
2011,Шумен,district,total,1094.0
2011,Шумен,district,urban,648.0
2011,Шумен,district,rural,446.0
2011,Ямбол,district,total,865.0
2011,Ямбол,district,urban,586.0
2011,Ямбол,district,rural,279.0
2012,България,country,total,39695.0
2012,България,country,urban,28033.0
2012,България,country,rural,11662.0
2012,Благоевград,district,total,1276.0
2012,Благоевград,district,urban,804.0
2012,Благоевград,district,rural,472.0
2012,Бургас,district,total,2165.0
2012,Бургас,district,urban,1580.0
2012,Бургас,district,rural,585.0
2012,Варна,district,total,2708.0
2012,Варна,district,urban,2113.0
2012,Варна,district,rural,595.0
2012,Велико Търново,district,total,1517.0
2012,Велико Търново,district,urban,1013.0
2012,Велико Търново,district,rural,504.0
2012,Видин,district,total,527.0
2012,Видин,district,urban,360.0
2012,Видин,district,rural,167.0
2012,Враца,district,total,1075.0
2012,Враца,district,urban,544.0
2012,Враца,district,rural,531.0
2012,Габрово,district,total,578.0
2012,Габрово,district,urban,465.0
2012,Габрово,district,rural,113.0
2012,Добрич,district,total,1084.0
2012,Добрич,district,urban,652.0
2012,Добрич,district,rural,432.0
2012,Кърджали,district,total,596.0
2012,Кърджали,district,urban,294.0
2012,Кърджали,district,rural,302.0
2012,Кюстендил,district,total,602.0
2012,Кюстендил,district,urban,489.0
2012,Кюстендил,district,rural,113.0
2012,Ловеч,district,total,910.0
2012,Ловеч,district,urban,544.0
2012,Ловеч,district,rural,366.0
2012,Монтана,district,total,891.0
2012,Монтана,district,urban,531.0
2012,Монтана,district,rural,360.0
2012,Пазарджик,district,total,1744.0
2012,Пазарджик,district,urban,1096.0
2012,Пазарджик,district,rural,648.0
2012,Перник,district,total,516.0
2012,Перник,district,urban,441.0
2012,Перник,district,rural,75.0
2012,Плевен,district,total,1527.0
2012,Плевен,district,urban,911.0
2012,Плевен,district,rural,616.0
2012,Пловдив,district,total,3630.0
2012,Пловдив,district,urban,2647.0
2012,Пловдив,district,rural,983.0
2012,Разград,district,total,598.0
2012,Разград,district,urban,239.0
2012,Разград,district,rural,359.0
2012,Русе,district,total,1070.0
2012,Русе,district,urban,809.0
2012,Русе,district,rural,261.0
2012,Силистра,district,total,593.0
2012,Силистра,district,urban,216.0
2012,Силистра,district,rural,377.0
2012,Сливен,district,total,1715.0
2012,Сливен,district,urban,947.0
2012,Сливен,district,rural,768.0
2012,Смолян,district,total,471.0
2012,Смолян,district,urban,277.0
2012,Смолян,district,rural,194.0
2012,София (столица),district,total,6532.0
2012,София (столица),district,urban,6315.0
2012,София (столица),district,rural,217.0
2012,София,district,total,1350.0
2012,София,district,urban,918.0
2012,София,district,rural,432.0
2012,Стара Загора,district,total,2047.0
2012,Стара Загора,district,urban,1298.0
2012,Стара Загора,district,rural,749.0
2012,Търговище,district,total,758.0
2012,Търговище,district,urban,337.0
2012,Търговище,district,rural,421.0
2012,Хасково,district,total,1307.0
2012,Хасково,district,urban,965.0
2012,Хасково,district,rural,342.0
2012,Шумен,district,total,1031.0
2012,Шумен,district,urban,619.0
2012,Шумен,district,rural,412.0
2012,Ямбол,district,total,877.0
2012,Ямбол,district,urban,609.0
2012,Ямбол,district,rural,268.0
2013,България,country,total,39375.0
2013,България,country,urban,27715.0
2013,България,country,rural,11660.0
2013,Благоевград,district,total,1240.0
2013,Благоевград,district,urban,791.0
2013,Благоевград,district,rural,449.0
2013,Бургас,district,total,2294.0
2013,Бургас,district,urban,1654.0
2013,Бургас,district,rural,640.0
2013,Варна,district,total,2575.0
2013,Варна,district,urban,2012.0
2013,Варна,district,rural,563.0
2013,Велико Търново,district,total,1471.0
2013,Велико Търново,district,urban,956.0
2013,Велико Търново,district,rural,515.0
2013,Видин,district,total,501.0
2013,Видин,district,urban,337.0
2013,Видин,district,rural,164.0
2013,Враца,district,total,973.0
2013,Враца,district,urban,494.0
2013,Враца,district,rural,479.0
2013,Габрово,district,total,566.0
2013,Габрово,district,urban,450.0
2013,Габрово,district,rural,116.0
2013,Добрич,district,total,1065.0
2013,Добрич,district,urban,670.0
2013,Добрич,district,rural,395.0
2013,Кърджали,district,total,624.0
2013,Кърджали,district,urban,284.0
2013,Кърджали,district,rural,340.0
2013,Кюстендил,district,total,545.0
2013,Кюстендил,district,urban,449.0
2013,Кюстендил,district,rural,96.0
2013,Ловеч,district,total,770.0
2013,Ловеч,district,urban,479.0
2013,Ловеч,district,rural,291.0
2013,Монтана,district,total,880.0
2013,Монтана,district,urban,532.0
