year,territory_raw,territory_level,metric,value
2010,България,country,total,24286.0
2010,България,country,urban,19262.0
2010,България,country,rural,5024.0
2011,България,country,total,21448.0
2011,България,country,urban,16704.0
2011,България,country,rural,4744.0
2012,България,country,total,21167.0
2012,България,country,urban,16357.0
2012,България,country,rural,4810.0
2013,България,country,total,21943.0
2013,България,country,urban,17047.0
2013,България,country,rural,4896.0
2014,България,country,total,24596.0
2014,България,country,urban,18756.0
2014,България,country,rural,5840.0
2015,България,country,total,27720.0
2015,България,country,urban,20795.0
2015,България,country,rural,6925.0
2016,България,country,total,26803.0
2016,България,country,urban,19977.0
2016,България,country,rural,6826.0
2017,България,country,total,28593.0
2017,България,country,urban,21536.0
2017,България,country,rural,7057.0
2018,България,country,total,28961.0
2018,България,country,urban,21463.0
2018,България,country,rural,7498.0
2019,България,country,total,29198.0
2019,България,country,urban,21460.0
2019,България,country,rural,7738.0
2020,България,country,total,22172.0
2020,България,country,urban,16124.0
2020,България,country,rural,6048.0
2021,България,country,total,26620.0
2021,България,country,urban,19175.0
2021,България,country,rural,7445.0
2022,България,country,total,26013.0
2022,България,country,urban,18976.0
2022,България,country,rural,7037.0
2023,България,country,total,21800.0
2023,България,country,urban,16105.0
2023,България,country,rural,5695.0
2024,България,country,total,20643.0
2024,България,country,urban,15210.0
2024,България,country,rural,5433.0
2025,България,country,total,20594.0
2025,България,country,urban,15320.0
2025,България,country,rural,5274.0
2010,Благоевград,district,total,1229.0
2010,Благоевград,district,urban,755.0
2010,Благоевград,district,rural,474.0
2011,Благоевград,district,total,1166.0
2011,Благоевград,district,urban,704.0
2011,Благоевград,district,rural,462.0
2012,Благоевград,district,total,1023.0
2012,Благоевград,district,urban,637.0
2012,Благоевград,district,rural,386.0
2013,Благоевград,district,total,1082.0
2013,Благоевград,district,urban,703.0
2013,Благоевград,district,rural,379.0
2014,Благоевград,district,total,1091.0
2014,Благоевград,district,urban,686.0
2014,Благоевград,district,rural,405.0
2015,Благоевград,district,total,1232.0
2015,Благоевград,district,urban,773.0
2015,Благоевград,district,rural,459.0
2016,Благоевград,district,total,1123.0
2016,Благоевград,district,urban,677.0
2016,Благоевград,district,rural,446.0
2017,Благоевград,district,total,1131.0
2017,Благоевград,district,urban,676.0
2017,Благоевград,district,rural,455.0
2018,Благоевград,district,total,1195.0
2018,Благоевград,district,urban,741.0
2018,Благоевград,district,rural,454.0
2019,Благоевград,district,total,1174.0
2019,Благоевград,district,urban,712.0
2019,Благоевград,district,rural,462.0
2020,Благоевград,district,total,876.0
2020,Благоевград,district,urban,499.0
2020,Благоевград,district,rural,377.0
2021,Благоевград,district,total,1040.0
2021,Благоевград,district,urban,644.0
2021,Благоевград,district,rural,396.0
2022,Благоевград,district,total,985.0
2022,Благоевград,district,urban,592.0
2022,Благоевград,district,rural,393.0
2023,Благоевград,district,total,892.0
2023,Благоевград,district,urban,536.0
2023,Благоевград,district,rural,356.0
2024,Благоевград,district,total,806.0
2024,Благоевград,district,urban,481.0
2024,Благоевград,district,rural,325.0
2025,Благоевград,district,total,779.0
2025,Благоевград,district,urban,459.0
2025,Благоевград,district,rural,320.0
2010,Бургас,district,total,1485.0
2010,Бургас,district,urban,1133.0
2010,Бургас,district,rural,352.0
2011,Бургас,district,total,1411.0
2011,Бургас,district,urban,1016.0
