year,territory_raw,territory_level,metric,value
2010,България,country,total,7534289.0
2010,България,country,urban,5388142.0
2010,България,country,rural,2146147.0
2011,България,country,total,7348328.0
2011,България,country,urban,5336366.0
2011,България,country,rural,2011962.0
2012,България,country,total,7305888.0
2012,България,country,urban,5316384.0
2012,България,country,rural,1989504.0
2013,България,country,total,7265115.0
2013,България,country,urban,5299772.0
2013,България,country,rural,1965343.0
2014,България,country,total,7223937.0
2014,България,country,urban,5279577.0
2014,България,country,rural,1944360.0
2015,България,country,total,7177991.0
2015,България,country,urban,5247331.0
2015,България,country,rural,1930660.0
2016,България,country,total,7127821.5
2016,България,country,urban,5215783.5
2016,България,country,rural,1912038.0
2017,България,country,total,7075946.5
2017,България,country,urban,5193070.0
2017,България,country,rural,1882876.5
2018,България,country,total,7025036.5
2018,България,country,urban,5170442.0
2018,България,country,rural,1854594.5
2019,България,country,total,6975760.5
2019,България,country,urban,5142268.0
2019,България,country,rural,1833492.5
2020,България,country,total,6934015.0
2020,България,country,urban,5084296.5
2020,България,country,rural,1849718.5
2021,България,country,total,6877742.5
2021,България,country,urban,5021841.0
2021,България,country,rural,1855901.5
2022,България,country,total,6465097.0
2022,България,country,urban,4752787.0
2022,България,country,rural,1712311.0
2023,България,country,total,6446595.5
2023,България,country,urban,4742585.5
2023,България,country,rural,1704010.0
2024,България,country,total,6441420.5
2024,България,country,urban,4741286.0
2024,България,country,rural,1700134.5
2025,България,country,total,6430283.5
2025,България,country,urban,4744898.5
2025,България,country,rural,1685385.0
2010,Благоевград,district,total,326877.0
2010,Благоевград,district,urban,192857.0
2010,Благоевград,district,rural,134020.0
2011,Благоевград,district,total,322876.0
2011,Благоевград,district,urban,190992.0
2011,Благоевград,district,rural,131884.0
2012,Благоевград,district,total,321093.0
2012,Благоевград,district,urban,190303.0
2012,Благоевград,district,rural,130790.0
2013,Благоевград,district,total,319135.0
2013,Благоевград,district,urban,189630.0
2013,Благоевград,district,rural,129505.0
2014,Благоевград,district,total,316843.0
2014,Благоевград,district,urban,188688.0
2014,Благоевград,district,rural,128155.0
2015,Благоевград,district,total,314204.0
2015,Благоевград,district,urban,187049.0
2015,Благоевград,district,rural,127155.0
2016,Благоевград,district,total,311576.0
2016,Благоевград,district,urban,185527.5
2016,Благоевград,district,rural,126048.5
2017,Благоевград,district,total,309101.5
2017,Благоевград,district,urban,184637.5
2017,Благоевград,district,rural,124464.0
2018,Благоевград,district,total,306502.5
2018,Благоевград,district,urban,183679.0
2018,Благоевград,district,rural,122823.5
2019,Благоевград,district,total,303908.5
2019,Благоевград,district,urban,182640.0
2019,Благоевград,district,rural,121268.5
2020,Благоевград,district,total,301916.0
2020,Благоевград,district,urban,181825.0
2020,Благоевград,district,rural,120091.0
2021,Благоевград,district,total,299694.5
2021,Благоевград,district,urban,180980.5
2021,Благоевград,district,rural,118714.0
2022,Благоевград,district,total,289189.0
2022,Благоевград,district,urban,172481.0
2022,Благоевград,district,rural,116708.0
2023,Благоевград,district,total,287619.0
2023,Благоевград,district,urban,172243.5
2023,Благоевград,district,rural,115375.5
2024,Благоевград,district,total,286705.0
2024,Благоевград,district,urban,172246.5
2024,Благоевград,district,rural,114458.5
2025,Благоевград,district,total,285988.5
2025,Благоевград,district,urban,173009.0
2025,Благоевград,district,rural,112979.5
2010,Бургас,district,total,421786.0
2010,Бургас,district,urban,310371.0
2010,Бургас,district,rural,111415.0
2011,Бургас,district,total,415428.0
2011,Бургас,district,urban,310902.0
2011,Бургас,district,rural,104526.0
2012,Бургас,district,total,414550.0
2012,Бургас,district,urban,310283.0
2012,Бургас,district,rural,104267.0
2013,Бургас,district,total,414320.0
2013,Бургас,district,urban,310180.0
2013,Бургас,district,rural,104140.0
2014,Бургас,district,total,414335.0
2014,Бургас,district,urban,310321.0
2014,Бургас,district,rural,104014.0
2015,Бургас,district,total,414034.0
2015,Бургас,district,urban,312632.0
2015,Бургас,district,rural,101402.0
2016,Бургас,district,total,413284.0
2016,Бургас,district,urban,314742.0
2016,Бургас,district,rural,98542.0
2017,Бургас,district,total,412131.5
2017,Бургас,district,urban,314266.5
2017,Бургас,district,rural,97865.0
2018,Бургас,district,total,410955.0
2018,Бургас,district,urban,313801.0
2018,Бургас,district,rural,97154.0
2019,Бургас,district,total,409798.0
2019,Бургас,district,urban,313349.0
2019,Бургас,district,rural,96449.0
2020,Бургас,district,total,409507.5
2020,Бургас,district,urban,312189.5
2020,Бургас,district,rural,97318.0
2021,Бургас,district,total,409227.0
2021,Бургас,district,urban,311173.0
2021,Бургас,district,rural,98054.0
2022,Бургас,district,total,378810.0
2022,Бургас,district,urban,289158.0
2022,Бургас,district,rural,89652.0
2023,Бургас,district,total,381521.0
2023,Бургас,district,urban,291555.5
2023,Бургас,district,rural,89965.5
2024,Бургас,district,total,386682.5
2024,Бургас,district,urban,295926.0
2024,Бургас,district,rural,90756.5
2025,Бургас,district,total,390209.5
2025,Бургас,district,urban,299430.5
2025,Бургас,district,rural,90779.0
2010,Варна,district,total,465283.0
2010,Варна,district,urban,380137.0
2010,Варна,district,rural,85146.0
2011,Варна,district,total,474560.0
2011,Варна,district,urban,396691.0
2011,Варна,district,rural,77869.0
2012,Варна,district,total,473880.0
2012,Варна,district,urban,396537.0
2012,Варна,district,rural,77343.0
2013,Варна,district,total,473745.0
2013,Варна,district,urban,396816.0
2013,Варна,district,rural,76929.0
2014,Варна,district,total,473940.0
2014,Варна,district,urban,397046.0
2014,Варна,district,rural,76894.0
2015,Варна,district,total,473365.0
2015,Варна,district,urban,395815.5
2015,Варна,district,rural,77549.5
2016,Варна,district,total,472790.0
2016,Варна,district,urban,394979.0
2016,Варна,district,rural,77811.0
2017,Варна,district,total,472387.0
2017,Варна,district,urban,395326.5
2017,Варна,district,rural,77060.5
2018,Варна,district,total,471686.0
2018,Варна,district,urban,395542.0
2018,Варна,district,rural,76144.0
2019,Варна,district,total,470568.5
2019,Варна,district,urban,395195.5
2019,Варна,district,rural,75373.0
2020,Варна,district,total,470004.5
2020,Варна,district,urban,392855.5
2020,Варна,district,rural,77149.0
2021,Варна,district,total,469369.0
2021,Варна,district,urban,390698.5
2021,Варна,district,rural,78670.5
2022,Варна,district,total,431025.0
2022,Варна,district,urban,362695.0
2022,Варна,district,rural,68331.0
